level,xp_to_next,cumulative_xp,stat_points,skill_points,mastery_points,target_gear_tier,major_unlock
1,120,120,5,1,0,Starter,
2,320,440,5,1,0,Starter,
3,570,1010,5,1,0,Starter,
4,850,1860,5,1,0,Starter,
5,1160,3020,5,1,0,Starter,First passive
6,1490,4510,5,1,0,Starter,
7,1860,6370,5,1,0,Starter,
8,2240,8610,5,1,0,Starter,
9,2640,11250,5,1,0,Starter,
10,3070,14320,5,1,0,Starter,Class stance
11,3510,17830,5,1,0,Uncommon,
12,3970,21800,5,1,0,Uncommon,
13,4450,26250,5,1,0,Uncommon,
14,4940,31190,5,1,0,Uncommon,
15,5450,36640,5,1,0,Uncommon,First group dungeon
16,5970,42610,5,1,0,Uncommon,
17,6510,49120,5,1,0,Uncommon,
18,7060,56180,5,1,0,Uncommon,
19,7620,63800,5,1,0,Uncommon,
20,8200,72000,5,1,0,Uncommon,Mount quest
21,8790,80790,5,1,0,Rare,
22,9390,90180,5,1,0,Rare,
23,10000,100180,5,1,0,Rare,
24,10630,110810,5,1,0,Rare,
25,11270,122080,5,1,0,Rare,Talent row 2
26,11910,133990,5,1,0,Rare,
27,12570,146560,5,1,0,Rare,
28,13240,159800,5,1,0,Rare,
29,13920,173720,5,1,0,Rare,
30,14610,188330,5,1,0,Rare,PvP arena
31,15310,203640,5,1,0,Rare,
32,16020,219660,5,1,0,Rare,
33,16740,236400,5,1,0,Rare,
34,17470,253870,5,1,0,Rare,
35,18210,272080,5,1,0,Rare,Craft specialization
36,18960,291040,5,1,0,Rare,
37,19710,310750,5,1,0,Rare,
38,20480,331230,5,1,0,Rare,
39,21250,352480,5,1,0,Rare,
40,22040,374520,5,1,0,Rare,Talent row 3
41,22830,397350,5,1,0,Epic,
42,23630,420980,5,1,0,Epic,
43,24440,445420,5,1,0,Epic,
44,25250,470670,5,1,0,Epic,
45,26080,496750,5,1,0,Epic,World boss contracts
46,26910,523660,5,1,0,Epic,
47,27750,551410,5,1,0,Epic,
48,28600,580010,5,1,0,Epic,
49,29460,609470,5,1,0,Epic,
50,30320,639790,5,1,0,Epic,Epic set bonuses
51,31200,670990,5,1,0,Epic,
52,32080,703070,5,1,0,Epic,
53,32960,736030,5,1,0,Epic,
54,33860,769890,5,1,0,Epic,
55,34760,804650,5,1,0,Epic,Raid attunement begins
56,35670,840320,5,1,0,Epic,
57,36580,876900,5,1,0,Epic,
58,37510,914410,5,1,0,Epic,
59,38440,952850,5,1,0,Epic,
60,39370,992220,5,1,0,Epic,Mastery system
61,40320,1032540,4,0,1,Legendary,
62,41270,1073810,4,0,1,Legendary,
63,42220,1116030,4,0,1,Legendary,
64,43190,1159220,4,0,1,Legendary,
65,44160,1203380,4,0,1,Legendary,Abyss Gate access
66,45130,1248510,4,0,1,Legendary,
67,46120,1294630,4,0,1,Legendary,
68,47110,1341740,4,0,1,Legendary,
69,48110,1389850,4,0,1,Legendary,
70,49110,1438960,4,0,1,Legendary,Mythic dungeon
71,50120,1489080,4,0,1,Legendary,
72,51130,1540210,4,0,1,Legendary,
73,52150,1592360,4,0,1,Legendary,
74,53180,1645540,4,0,1,Legendary,
75,54220,1699760,4,0,1,Legendary,Talent row 5
76,55260,1755020,4,0,1,Legendary,
77,56300,1811320,4,0,1,Legendary,
78,57350,1868670,4,0,1,Legendary,
79,58410,1927080,4,0,1,Legendary,
80,59480,1986560,4,0,1,Legendary,Eclipse Cathedral access
81,60540,2047100,4,0,1,Legendary,
82,61620,2108720,4,0,1,Legendary,
83,62700,2171420,4,0,1,Legendary,
84,63790,2235210,4,0,1,Legendary,
85,64880,2300090,4,0,1,Legendary,Legendary awakening
86,65980,2366070,4,0,1,Mythic,
87,67080,2433150,4,0,1,Mythic,
88,68190,2501340,4,0,1,Mythic,
89,69310,2570650,4,0,1,Mythic,
90,70430,2641080,4,0,1,Mythic,Seasonal endgame
91,71560,2712640,4,0,1,Mythic,
92,72690,2785330,4,0,1,Mythic,
93,73820,2859150,4,0,1,Mythic,
94,74970,2934120,4,0,1,Mythic,
95,76110,3010230,4,0,1,Mythic,Mythic weapon quest
96,77270,3087500,4,0,1,Mythic,
97,78430,3165930,4,0,1,Mythic,
98,79590,3245520,4,0,1,Mythic,
99,80760,3326280,4,0,1,Mythic,
100,0,3326280,4,0,1,Mythic,Paragon cap + endgame mastery
