skill_id,name,unlock_level,type,rank,description,power_coefficient,cooldown_s,resource_cost,hitbox,cc_status,threat,pvp_rule,implementation_note
SKL_BER_001,Savage Cleave,1,Active,1,Frontal AoE,1.35,4.0,10,120° cone,Bleed 4s,120 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_001,Savage Cleave,1,Active,2,Frontal AoE,1.5,3.9,10,120° cone,Bleed 4s,120 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_001,Savage Cleave,1,Active,3,Frontal AoE,1.65,3.8,11,120° cone,Bleed 4s,120 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_001,Savage Cleave,1,Active,4,Frontal AoE,1.8,3.7,11,120° cone,Bleed 4s,120 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_001,Savage Cleave,1,Active,5,Frontal AoE,1.94,3.6,11,120° cone,Bleed 4s,120 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_002,War Roar,4,Active,1,AoE challenge,0.0,18.0,0,5m circle,Fear immunity 3s,180 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_002,War Roar,4,Active,2,AoE challenge,0.0,17.6,0,5m circle,Fear immunity 3s,180 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_002,War Roar,4,Active,3,AoE challenge,0.0,17.1,0,5m circle,Fear immunity 3s,180 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_002,War Roar,4,Active,4,AoE challenge,0.0,16.7,0,5m circle,Fear immunity 3s,180 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_002,War Roar,4,Active,5,AoE challenge,0.0,16.2,0,5m circle,Fear immunity 3s,180 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_003,Blood Crash,7,Active,1,Heavy strike,1.7,8.0,20,2.5m target,Bleed 8s,130 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_003,Blood Crash,7,Active,2,Heavy strike,1.89,7.8,21,2.5m target,Bleed 8s,130 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_003,Blood Crash,7,Active,3,Heavy strike,2.07,7.6,21,2.5m target,Bleed 8s,130 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_003,Blood Crash,7,Active,4,Heavy strike,2.26,7.4,22,2.5m target,Bleed 8s,130 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_003,Blood Crash,7,Active,5,Heavy strike,2.45,7.2,22,2.5m target,Bleed 8s,130 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_004,Ravager Stance,10,Stance,1,DPS stance,0.0,20.0,0,Self,"Damage +15%, DEF -10%",-20% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_004,Ravager Stance,10,Stance,2,DPS stance,0.0,19.5,0,Self,"Damage +15%, DEF -10%",-20% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_004,Ravager Stance,10,Stance,3,DPS stance,0.0,19.0,0,Self,"Damage +15%, DEF -10%",-20% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_004,Ravager Stance,10,Stance,4,DPS stance,0.0,18.5,0,Self,"Damage +15%, DEF -10%",-20% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_004,Ravager Stance,10,Stance,5,DPS stance,0.0,18.0,0,Self,"Damage +15%, DEF -10%",-20% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_005,Defender Stance,10,Stance,1,Tank stance,0.0,20.0,0,Self,Damage taken -12%,+45% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_005,Defender Stance,10,Stance,2,Tank stance,0.0,19.5,0,Self,Damage taken -12%,+45% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_005,Defender Stance,10,Stance,3,Tank stance,0.0,19.0,0,Self,Damage taken -12%,+45% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_005,Defender Stance,10,Stance,4,Tank stance,0.0,18.5,0,Self,Damage taken -12%,+45% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_005,Defender Stance,10,Stance,5,Tank stance,0.0,18.0,0,Self,Damage taken -12%,+45% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_006,Whirlwind Carve,14,Active,1,Spin AoE,2.2,14.0,30,4m circle,Pull micro 0.4m,140 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_006,Whirlwind Carve,14,Active,2,Spin AoE,2.44,13.7,31,4m circle,Pull micro 0.4m,140 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_006,Whirlwind Carve,14,Active,3,Spin AoE,2.68,13.3,32,4m circle,Pull micro 0.4m,140 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_006,Whirlwind Carve,14,Active,4,Spin AoE,2.93,13.0,33,4m circle,Pull micro 0.4m,140 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_006,Whirlwind Carve,14,Active,5,Spin AoE,3.17,12.6,34,4m circle,Pull micro 0.4m,140 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_BER_007,Skullsplitter,18,Active,1,Armor break,1.8,12.0,25,2.5m,Armor -15% 8s,150 threat,PvP coefficient 0.85,Server-authoritative hit validation
