skill_id,name,unlock_level,type,rank,description,power_coefficient,cooldown_s,resource_cost,hitbox,cc_status,threat,pvp_rule,implementation_note
SKL_KNI_001,Shield Rush,1,Active,1,Gap closer + stun,1.2,8.0,20,2.2x1.0 rectangle,1.2s stun,220 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_001,Shield Rush,1,Active,2,Gap closer + stun,1.33,7.8,21,2.2x1.0 rectangle,1.2s stun,220 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_001,Shield Rush,1,Active,3,Gap closer + stun,1.46,7.6,21,2.2x1.0 rectangle,1.2s stun,220 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_001,Shield Rush,1,Active,4,Gap closer + stun,1.6,7.4,22,2.2x1.0 rectangle,1.2s stun,220 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_001,Shield Rush,1,Active,5,Gap closer + stun,1.73,7.2,22,2.2x1.0 rectangle,1.2s stun,220 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_002,Bulwark Stance,3,Stance,1,Tank stance,0.0,20.0,0,Self,-20% damage taken,+35% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_002,Bulwark Stance,3,Stance,2,Tank stance,0.0,19.5,0,Self,-20% damage taken,+35% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_002,Bulwark Stance,3,Stance,3,Tank stance,0.0,19.0,0,Self,-20% damage taken,+35% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_002,Bulwark Stance,3,Stance,4,Tank stance,0.0,18.5,0,Self,-20% damage taken,+35% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_002,Bulwark Stance,3,Stance,5,Tank stance,0.0,18.0,0,Self,-20% damage taken,+35% threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_003,Taunting Cry,5,Active,1,AoE taunt,0.0,18.0,25,5m circle,3s taunt,Set top threat +10%,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_003,Taunting Cry,5,Active,2,AoE taunt,0.0,17.6,26,5m circle,3s taunt,Set top threat +10%,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_003,Taunting Cry,5,Active,3,AoE taunt,0.0,17.1,26,5m circle,3s taunt,Set top threat +10%,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_003,Taunting Cry,5,Active,4,AoE taunt,0.0,16.7,27,5m circle,3s taunt,Set top threat +10%,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_003,Taunting Cry,5,Active,5,AoE taunt,0.0,16.2,28,5m circle,3s taunt,Set top threat +10%,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_004,Radiant Slash,8,Active,1,Frontal cleave,1.45,6.0,22,120° cone 3m,Holy mark 6s,150 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_004,Radiant Slash,8,Active,2,Frontal cleave,1.61,5.8,23,120° cone 3m,Holy mark 6s,150 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_004,Radiant Slash,8,Active,3,Frontal cleave,1.77,5.7,23,120° cone 3m,Holy mark 6s,150 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_004,Radiant Slash,8,Active,4,Frontal cleave,1.93,5.6,24,120° cone 3m,Holy mark 6s,150 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_004,Radiant Slash,8,Active,5,Frontal cleave,2.09,5.4,25,120° cone 3m,Holy mark 6s,150 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_005,Guardian Oath,12,Active,1,Protect ally,0.0,22.0,30,Target ally,30% damage redirect,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_005,Guardian Oath,12,Active,2,Protect ally,0.0,21.4,31,Target ally,30% damage redirect,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_005,Guardian Oath,12,Active,3,Protect ally,0.0,20.9,32,Target ally,30% damage redirect,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_005,Guardian Oath,12,Active,4,Protect ally,0.0,20.4,33,Target ally,30% damage redirect,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_005,Guardian Oath,12,Active,5,Protect ally,0.0,19.8,34,Target ally,30% damage redirect,100 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_006,Aegis Wall,16,Active,1,Party barrier,0.0,24.0,35,4x2.5m wall,Shield 12% max HP,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_006,Aegis Wall,16,Active,2,Party barrier,0.0,23.4,36,4x2.5m wall,Shield 12% max HP,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_006,Aegis Wall,16,Active,3,Party barrier,0.0,22.8,37,4x2.5m wall,Shield 12% max HP,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_006,Aegis Wall,16,Active,4,Party barrier,0.0,22.2,38,4x2.5m wall,Shield 12% max HP,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_006,Aegis Wall,16,Active,5,Party barrier,0.0,21.6,39,4x2.5m wall,Shield 12% max HP,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_007,Counter Bastion,20,Active,1,Block counter,1.8,14.0,18,2m frontal,Knockback 0.8m,170 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_KNI_007,Counter Bastion,20,Active,2,Block counter,2.0,13.7,19,2m frontal,Knockback 0.8m,170 threat,PvP coefficient 0.85,Server-authoritative hit validation
