skill_id,name,unlock_level,type,rank,description,power_coefficient,cooldown_s,resource_cost,hitbox,cc_status,threat,pvp_rule,implementation_note
SKL_MAG_001,Arc Bolt,1,Active,1,Basic spell,1.15,2.0,18,13m projectile,Arcane tag,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_001,Arc Bolt,1,Active,2,Basic spell,1.28,1.9,19,13m projectile,Arcane tag,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_001,Arc Bolt,1,Active,3,Basic spell,1.4,1.9,19,13m projectile,Arcane tag,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_001,Arc Bolt,1,Active,4,Basic spell,1.53,1.9,20,13m projectile,Arcane tag,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_001,Arc Bolt,1,Active,5,Basic spell,1.66,1.8,20,13m projectile,Arcane tag,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_002,Flame Sigil,4,Active,1,Ground burn,1.45,8.0,26,4m circle,Burn 6s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_002,Flame Sigil,4,Active,2,Ground burn,1.61,7.8,27,4m circle,Burn 6s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_002,Flame Sigil,4,Active,3,Ground burn,1.77,7.6,28,4m circle,Burn 6s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_002,Flame Sigil,4,Active,4,Ground burn,1.93,7.4,28,4m circle,Burn 6s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_002,Flame Sigil,4,Active,5,Ground burn,2.09,7.2,29,4m circle,Burn 6s,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_003,Frost Needle,7,Active,1,Single target slow,1.4,6.0,20,13m projectile,Slow 35% 3s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_003,Frost Needle,7,Active,2,Single target slow,1.55,5.8,21,13m projectile,Slow 35% 3s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_003,Frost Needle,7,Active,3,Single target slow,1.71,5.7,21,13m projectile,Slow 35% 3s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_003,Frost Needle,7,Active,4,Single target slow,1.86,5.6,22,13m projectile,Slow 35% 3s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_003,Frost Needle,7,Active,5,Single target slow,2.02,5.4,22,13m projectile,Slow 35% 3s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_004,Mana Shield,10,Active,1,Barrier,0.0,24.0,30,Self,Absorb via mana,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_004,Mana Shield,10,Active,2,Barrier,0.0,23.4,31,Self,Absorb via mana,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_MAG_004,Mana Shield,10,Active,3,Barrier,0.0,22.8,32,Self,Absorb via mana,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
