skill_id,name,unlock_level,type,rank,description,power_coefficient,cooldown_s,resource_cost,hitbox,cc_status,threat,pvp_rule,implementation_note
SKL_PRI_001,Sacred Spark,1,Active,1,Holy projectile,1.0,2.0,16,12m projectile,Holy tag,50 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_001,Sacred Spark,1,Active,2,Holy projectile,1.11,1.9,16,12m projectile,Holy tag,50 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_001,Sacred Spark,1,Active,3,Holy projectile,1.22,1.9,17,12m projectile,Holy tag,50 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_001,Sacred Spark,1,Active,4,Holy projectile,1.33,1.9,17,12m projectile,Holy tag,50 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_001,Sacred Spark,1,Active,5,Holy projectile,1.44,1.8,18,12m projectile,Holy tag,50 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_002,Minor Mend,3,Active,1,Single heal,1.2,4.0,20,12m ally,Instant heal,-80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_002,Minor Mend,3,Active,2,Single heal,1.33,3.9,21,12m ally,Instant heal,-80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_002,Minor Mend,3,Active,3,Single heal,1.46,3.8,21,12m ally,Instant heal,-80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_002,Minor Mend,3,Active,4,Single heal,1.6,3.7,22,12m ally,Instant heal,-80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_002,Minor Mend,3,Active,5,Single heal,1.73,3.6,22,12m ally,Instant heal,-80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_003,Blessing of Grace,6,Active,1,Party buff,0.0,18.0,24,6m allies,AS/MS +8%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_003,Blessing of Grace,6,Active,2,Party buff,0.0,17.6,25,6m allies,AS/MS +8%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_003,Blessing of Grace,6,Active,3,Party buff,0.0,17.1,25,6m allies,AS/MS +8%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_003,Blessing of Grace,6,Active,4,Party buff,0.0,16.7,26,6m allies,AS/MS +8%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_003,Blessing of Grace,6,Active,5,Party buff,0.0,16.2,27,6m allies,AS/MS +8%,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_004,Halo Pulse,9,Active,1,AoE holy damage,1.45,10.0,26,4m circle,Weak blind 1s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_004,Halo Pulse,9,Active,2,AoE holy damage,1.61,9.8,27,4m circle,Weak blind 1s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_004,Halo Pulse,9,Active,3,AoE holy damage,1.77,9.5,28,4m circle,Weak blind 1s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_004,Halo Pulse,9,Active,4,AoE holy damage,1.93,9.2,28,4m circle,Weak blind 1s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_004,Halo Pulse,9,Active,5,AoE holy damage,2.09,9.0,29,4m circle,Weak blind 1s,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_PRI_005,Sanctuary Field,13,Active,1,AoE HoT,0.0,20.0,30,6m circle,Heal over time,-120 threat,PvP coefficient 0.85,Server-authoritative hit validation
