skill_id,name,unlock_level,type,rank,description,power_coefficient,cooldown_s,resource_cost,hitbox,cc_status,threat,pvp_rule,implementation_note
SKL_RAN_001,Quick Shot,1,Active,1,Fast shot,1.05,2.0,12,12m projectile,None,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_001,Quick Shot,1,Active,2,Fast shot,1.17,1.9,12,12m projectile,None,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_001,Quick Shot,1,Active,3,Fast shot,1.28,1.9,13,12m projectile,None,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_001,Quick Shot,1,Active,4,Fast shot,1.4,1.9,13,12m projectile,None,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_001,Quick Shot,1,Active,5,Fast shot,1.51,1.8,13,12m projectile,None,70 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_002,Rolling Escape,4,Active,1,Mobility dodge,0.0,10.0,18,4m roll,I-frame 0.25s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_002,Rolling Escape,4,Active,2,Mobility dodge,0.0,9.8,19,4m roll,I-frame 0.25s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_002,Rolling Escape,4,Active,3,Mobility dodge,0.0,9.5,19,4m roll,I-frame 0.25s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_002,Rolling Escape,4,Active,4,Mobility dodge,0.0,9.2,20,4m roll,I-frame 0.25s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_002,Rolling Escape,4,Active,5,Mobility dodge,0.0,9.0,20,4m roll,I-frame 0.25s,0 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_003,Marked Prey,6,Active,1,Target mark,0.6,14.0,15,14m target,Crit taken +6%,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_003,Marked Prey,6,Active,2,Target mark,0.67,13.7,15,14m target,Crit taken +6%,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_003,Marked Prey,6,Active,3,Target mark,0.73,13.3,16,14m target,Crit taken +6%,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_003,Marked Prey,6,Active,4,Target mark,0.8,13.0,16,14m target,Crit taken +6%,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_003,Marked Prey,6,Active,5,Target mark,0.86,12.6,17,14m target,Crit taken +6%,60 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_004,Piercing Arrow,9,Active,1,Line shot,1.75,8.0,20,14x1m line,Pierces 5 targets,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
SKL_RAN_004,Piercing Arrow,9,Active,2,Line shot,1.94,7.8,21,14x1m line,Pierces 5 targets,80 threat,PvP coefficient 0.85,Server-authoritative hit validation
