quest_id,region,level,title,objective_type,objective,reward
SQ_01_01,Dawnwatch Village,2,Dawnwatch Village Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 1
SQ_01_02,Dawnwatch Village,3,Dawnwatch Village Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 1
SQ_01_03,Dawnwatch Village,4,Dawnwatch Village Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 1
SQ_01_04,Dawnwatch Village,5,Dawnwatch Village Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 1
SQ_01_05,Dawnwatch Village,6,Dawnwatch Village Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 1
SQ_01_06,Dawnwatch Village,7,Dawnwatch Village Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 1
SQ_01_07,Dawnwatch Village,8,Dawnwatch Village Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 1
SQ_01_08,Dawnwatch Village,8,Dawnwatch Village Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 1
SQ_02_01,Verdant Trail,6,Verdant Trail Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 2
SQ_02_02,Verdant Trail,7,Verdant Trail Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 2
SQ_02_03,Verdant Trail,8,Verdant Trail Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 2
SQ_02_04,Verdant Trail,9,Verdant Trail Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 2
SQ_02_05,Verdant Trail,10,Verdant Trail Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 2
SQ_02_06,Verdant Trail,11,Verdant Trail Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 2
SQ_02_07,Verdant Trail,12,Verdant Trail Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 2
SQ_02_08,Verdant Trail,12,Verdant Trail Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 2
SQ_03_01,Moonfen Marsh,21,Moonfen Marsh Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 3
SQ_03_02,Moonfen Marsh,22,Moonfen Marsh Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 3
SQ_03_03,Moonfen Marsh,23,Moonfen Marsh Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 3
SQ_03_04,Moonfen Marsh,24,Moonfen Marsh Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 3
SQ_03_05,Moonfen Marsh,25,Moonfen Marsh Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 3
SQ_03_06,Moonfen Marsh,26,Moonfen Marsh Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 3
SQ_03_07,Moonfen Marsh,27,Moonfen Marsh Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 3
SQ_03_08,Moonfen Marsh,27,Moonfen Marsh Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 3
SQ_04_01,Ashen Wastes,26,Ashen Wastes Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 4
SQ_04_02,Ashen Wastes,27,Ashen Wastes Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 4
SQ_04_03,Ashen Wastes,28,Ashen Wastes Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 4
SQ_04_04,Ashen Wastes,29,Ashen Wastes Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 4
SQ_04_05,Ashen Wastes,30,Ashen Wastes Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 4
SQ_04_06,Ashen Wastes,31,Ashen Wastes Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 4
SQ_04_07,Ashen Wastes,32,Ashen Wastes Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 4
SQ_04_08,Ashen Wastes,32,Ashen Wastes Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 4
SQ_05_01,Ironroot Depths,33,Ironroot Depths Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 5
SQ_05_02,Ironroot Depths,34,Ironroot Depths Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 5
SQ_05_03,Ironroot Depths,35,Ironroot Depths Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 5
SQ_05_04,Ironroot Depths,36,Ironroot Depths Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 5
SQ_05_05,Ironroot Depths,37,Ironroot Depths Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 5
SQ_05_06,Ironroot Depths,38,Ironroot Depths Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 5
SQ_05_07,Ironroot Depths,39,Ironroot Depths Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 5
SQ_05_08,Ironroot Depths,39,Ironroot Depths Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 5
SQ_06_01,Sunscar Desert,39,Sunscar Desert Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 6
SQ_06_02,Sunscar Desert,40,Sunscar Desert Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 6
SQ_06_03,Sunscar Desert,41,Sunscar Desert Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 6
SQ_06_04,Sunscar Desert,42,Sunscar Desert Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 6
SQ_06_05,Sunscar Desert,43,Sunscar Desert Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 6
SQ_06_06,Sunscar Desert,44,Sunscar Desert Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 6
SQ_06_07,Sunscar Desert,45,Sunscar Desert Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 6
SQ_06_08,Sunscar Desert,45,Sunscar Desert Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 6
SQ_07_01,Celestine Ruins,46,Celestine Ruins Yan Görev 1,Kill,Yan görev objective 1,Gold + region reputation + material tier 7
SQ_07_02,Celestine Ruins,47,Celestine Ruins Yan Görev 2,Collect,Yan görev objective 2,Gold + region reputation + material tier 7
SQ_07_03,Celestine Ruins,48,Celestine Ruins Yan Görev 3,Delivery,Yan görev objective 3,Gold + region reputation + material tier 7
SQ_07_04,Celestine Ruins,49,Celestine Ruins Yan Görev 4,Craft,Yan görev objective 4,Gold + region reputation + material tier 7
SQ_07_05,Celestine Ruins,50,Celestine Ruins Yan Görev 5,Explore,Yan görev objective 5,Gold + region reputation + material tier 7
SQ_07_06,Celestine Ruins,51,Celestine Ruins Yan Görev 6,Bounty,Yan görev objective 6,Gold + region reputation + material tier 7
SQ_07_07,Celestine Ruins,52,Celestine Ruins Yan Görev 7,Event,Yan görev objective 7,Gold + region reputation + material tier 7
SQ_07_08,Celestine Ruins,52,Celestine Ruins Yan Görev 8,MiniBoss,Yan görev objective 8,Gold + region reputation + material tier 7
