monster_id,name,region,level,tier,base_hp,base_attack,xp_multiplier,loot_table,ai_profile,art_requirement
MON_01_01,Field Boar,Dawnwatch Village,1,Normal,138,16,1.0,LootTable_DAW_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_01_02,Thistle Rat,Dawnwatch Village,2,Normal,456,36,1.0,LootTable_DAW_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_01_03,Young Crow,Dawnwatch Village,3,Normal,658,59,1.0,LootTable_DAW_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_01_04,Training Slime,Dawnwatch Village,4,Normal,1183,84,1.0,LootTable_DAW_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_01_05,Bandit Scout,Dawnwatch Village,5,Normal,1890,110,1.0,LootTable_DAW_05,AI_Basic,Front/side/back + attack/hit/death sprite
MON_01_06,Rogue Hound,Dawnwatch Village,6,Normal,1928,137,1.0,LootTable_DAW_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_01_07,Broken Scarecrow,Dawnwatch Village,7,Elite,2816,165,2.5,LootTable_DAW_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_01_08,Wild Ram,Dawnwatch Village,8,Elite,3916,194,2.5,LootTable_DAW_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_01_09,Copper Beetle,Dawnwatch Village,9,Elite,3616,223,2.5,LootTable_DAW_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_01_10,Garrick Thug,Dawnwatch Village,10,Elite,4896,253,2.5,LootTable_DAW_10,AI_Elite,Front/side/back + attack/hit/death sprite
MON_02_01,Forest Wolf,Verdant Trail,5,Normal,1672,110,1.0,LootTable_VER_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_02_02,Briar Entling,Verdant Trail,6,Normal,2507,137,1.0,LootTable_VER_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_02_03,Vine Stalker,Verdant Trail,8,Normal,3012,194,1.0,LootTable_VER_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_02_04,Mossling,Verdant Trail,10,Normal,4896,253,1.0,LootTable_VER_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_02_05,Thorn Archer,Verdant Trail,11,Normal,6416,284,1.0,LootTable_VER_05,AI_Basic,Front/side/back + attack/hit/death sprite
MON_02_06,Sap Golem,Verdant Trail,13,Normal,6394,347,1.0,LootTable_VER_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_02_07,Horned Doe Spirit,Verdant Trail,15,Elite,9179,412,2.5,LootTable_VER_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_02_08,Root Snake,Verdant Trail,16,Elite,11468,445,2.5,LootTable_VER_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_02_09,Bramble Boar,Verdant Trail,18,Elite,10588,513,2.5,LootTable_VER_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_02_10,Bloom Wisp,Verdant Trail,20,Elite,14337,582,2.5,LootTable_VER_10,AI_Elite,Front/side/back + attack/hit/death sprite
MON_03_01,Bog Skeleton,Moonfen Marsh,20,Normal,14337,582,1.0,LootTable_MOO_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_03_02,Mire Horror,Moonfen Marsh,21,Normal,17480,617,1.0,LootTable_MOO_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_03_03,Marsh Leech,Moonfen Marsh,22,Normal,14452,653,1.0,LootTable_MOO_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_03_04,Wisp Toad,Moonfen Marsh,23,Normal,17805,688,1.0,LootTable_MOO_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_03_05,Ghast Ferryman,Moonfen Marsh,24,Normal,21500,725,1.0,LootTable_MOO_05,AI_Basic,Front/side/back + attack/hit/death sprite
MON_03_06,Coffin Crab,Moonfen Marsh,25,Normal,17619,761,1.0,LootTable_MOO_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_03_07,Blight Witchling,Moonfen Marsh,26,Elite,21532,798,2.5,LootTable_MOO_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_03_08,Swamp Crow,Moonfen Marsh,27,Elite,25807,835,2.5,LootTable_MOO_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_03_09,Rotfang Hound,Moonfen Marsh,28,Elite,21002,872,2.5,LootTable_MOO_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_03_10,Lantern Shade,Moonfen Marsh,30,Elite,26879,947,2.5,LootTable_MOO_10,AI_Elite,Front/side/back + attack/hit/death sprite
MON_04_01,Ash Raider,Ashen Wastes,25,Normal,20262,761,1.0,LootTable_ASH_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_04_02,Ember Hound,Ashen Wastes,26,Normal,24340,798,1.0,LootTable_ASH_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_04_03,Cinder Golem,Ashen Wastes,27,Normal,19851,835,1.0,LootTable_ASH_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_04_04,Scorch Hawk,Ashen Wastes,29,Normal,25503,909,1.0,LootTable_ASH_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_04_05,Flame Sentry,Ashen Wastes,30,Normal,30385,947,1.0,LootTable_ASH_05,AI_Basic,Front/side/back + attack/hit/death sprite
MON_04_06,Molten Miner,Ashen Wastes,32,Normal,25832,1023,1.0,LootTable_ASH_06,AI_Basic,Front/side/back + attack/hit/death sprite
MON_04_07,Ash Priest,Ashen Wastes,33,Elite,31158,1062,2.5,LootTable_ASH_07,AI_Elite,Front/side/back + attack/hit/death sprite
MON_04_08,Char Wyrm,Ashen Wastes,35,Elite,38586,1140,2.5,LootTable_ASH_08,AI_Elite,Front/side/back + attack/hit/death sprite
MON_04_09,Lava Slime,Ashen Wastes,36,Elite,31006,1179,2.5,LootTable_ASH_09,AI_Elite,Front/side/back + attack/hit/death sprite
MON_04_10,Cinder Revenant,Ashen Wastes,38,Elite,38774,1258,2.5,LootTable_ASH_10,AI_Elite,Front/side/back + attack/hit/death sprite
MON_05_01,Cave Creeper,Ironroot Depths,32,Normal,29707,1023,1.0,LootTable_IRO_01,AI_Basic,Front/side/back + attack/hit/death sprite
MON_05_02,Chitin Stalker,Ironroot Depths,33,Normal,35222,1062,1.0,LootTable_IRO_02,AI_Basic,Front/side/back + attack/hit/death sprite
MON_05_03,Rootling,Ironroot Depths,34,Normal,28377,1101,1.0,LootTable_IRO_03,AI_Basic,Front/side/back + attack/hit/death sprite
MON_05_04,Crystal Beetle,Ironroot Depths,36,Normal,35657,1179,1.0,LootTable_IRO_04,AI_Basic,Front/side/back + attack/hit/death sprite
MON_05_05,Glowcap Sprite,Ironroot Depths,37,Normal,42056,1218,1.0,LootTable_IRO_05,AI_Basic,Front/side/back + attack/hit/death sprite
