item_id,name,class_restriction,slot,rarity,required_level,attack,defense,affix_pool,asset_key
ITM_0001,Oathblade Common,Knight,MainHand,Common,1,25,0,Knight weapon affix pool,WeaponModel_Knight_1
ITM_0002,Lionguard Sword Common,Knight,MainHand,Common,4,40,0,Knight weapon affix pool,WeaponModel_Knight_2
ITM_0003,Sunward Mace Common,Knight,MainHand,Common,7,55,0,Knight weapon affix pool,WeaponModel_Knight_3
ITM_0004,Common Knight Head,Knight,Head,Common,1,0,13,Knight armor affix pool,Armor_Knight_Head_1
ITM_0005,Common Knight Chest,Knight,Chest,Common,1,0,13,Knight armor affix pool,Armor_Knight_Chest_1
ITM_0006,Common Knight Gloves,Knight,Gloves,Common,1,0,13,Knight armor affix pool,Armor_Knight_Gloves_1
ITM_0007,Common Knight Legs,Knight,Legs,Common,1,0,13,Knight armor affix pool,Armor_Knight_Legs_1
ITM_0008,Common Knight Boots,Knight,Boots,Common,1,0,13,Knight armor affix pool,Armor_Knight_Boots_1
ITM_0009,Common Knight Cape,Knight,Cape,Common,1,0,13,Knight armor affix pool,Armor_Knight_Cape_1
ITM_0010,Common Knight Necklace,Knight,Necklace,Common,1,0,13,Knight armor affix pool,Armor_Knight_Necklace_1
ITM_0011,Common Knight Ring,Knight,Ring,Common,1,0,13,Knight armor affix pool,Armor_Knight_Ring_1
ITM_0012,Oathblade Uncommon,Knight,MainHand,Uncommon,18,135,0,Knight weapon affix pool,WeaponModel_Knight_1
ITM_0013,Lionguard Sword Uncommon,Knight,MainHand,Uncommon,21,150,0,Knight weapon affix pool,WeaponModel_Knight_2
ITM_0014,Sunward Mace Uncommon,Knight,MainHand,Uncommon,24,165,0,Knight weapon affix pool,WeaponModel_Knight_3
ITM_0015,Uncommon Knight Head,Knight,Head,Uncommon,18,0,79,Knight armor affix pool,Armor_Knight_Head_2
ITM_0016,Uncommon Knight Chest,Knight,Chest,Uncommon,18,0,79,Knight armor affix pool,Armor_Knight_Chest_2
ITM_0017,Uncommon Knight Gloves,Knight,Gloves,Uncommon,18,0,79,Knight armor affix pool,Armor_Knight_Gloves_2
ITM_0018,Uncommon Knight Legs,Knight,Legs,Uncommon,18,0,79,Knight armor affix pool,Armor_Knight_Legs_2
ITM_0019,Uncommon Knight Boots,Knight,Boots,Uncommon,18,0,79,Knight armor affix pool,Armor_Knight_Boots_2
ITM_0020,Uncommon Knight Cape,Knight,Cape,Uncommon,18,0,79,Knight armor affix pool,Armor_Knight_Cape_2
ITM_0021,Uncommon Knight Necklace,Knight,Necklace,Uncommon,18,0,79,Knight armor affix pool,Armor_Knight_Necklace_2
ITM_0022,Uncommon Knight Ring,Knight,Ring,Uncommon,18,0,79,Knight armor affix pool,Armor_Knight_Ring_2
ITM_0023,Oathblade Rare,Knight,MainHand,Rare,35,245,0,Knight weapon affix pool,WeaponModel_Knight_1
ITM_0024,Lionguard Sword Rare,Knight,MainHand,Rare,38,260,0,Knight weapon affix pool,WeaponModel_Knight_2
ITM_0025,Sunward Mace Rare,Knight,MainHand,Rare,41,275,0,Knight weapon affix pool,WeaponModel_Knight_3
ITM_0026,Rare Knight Head,Knight,Head,Rare,35,0,145,Knight armor affix pool,Armor_Knight_Head_3
ITM_0027,Rare Knight Chest,Knight,Chest,Rare,35,0,145,Knight armor affix pool,Armor_Knight_Chest_3
ITM_0028,Rare Knight Gloves,Knight,Gloves,Rare,35,0,145,Knight armor affix pool,Armor_Knight_Gloves_3
ITM_0029,Rare Knight Legs,Knight,Legs,Rare,35,0,145,Knight armor affix pool,Armor_Knight_Legs_3
ITM_0030,Rare Knight Boots,Knight,Boots,Rare,35,0,145,Knight armor affix pool,Armor_Knight_Boots_3
ITM_0031,Rare Knight Cape,Knight,Cape,Rare,35,0,145,Knight armor affix pool,Armor_Knight_Cape_3
ITM_0032,Rare Knight Necklace,Knight,Necklace,Rare,35,0,145,Knight armor affix pool,Armor_Knight_Necklace_3
ITM_0033,Rare Knight Ring,Knight,Ring,Rare,35,0,145,Knight armor affix pool,Armor_Knight_Ring_3
ITM_0034,Oathblade Epic,Knight,MainHand,Epic,52,355,0,Knight weapon affix pool,WeaponModel_Knight_1
ITM_0035,Lionguard Sword Epic,Knight,MainHand,Epic,55,370,0,Knight weapon affix pool,WeaponModel_Knight_2
ITM_0036,Sunward Mace Epic,Knight,MainHand,Epic,58,385,0,Knight weapon affix pool,WeaponModel_Knight_3
ITM_0037,Epic Knight Head,Knight,Head,Epic,52,0,211,Knight armor affix pool,Armor_Knight_Head_4
ITM_0038,Epic Knight Chest,Knight,Chest,Epic,52,0,211,Knight armor affix pool,Armor_Knight_Chest_4
ITM_0039,Epic Knight Gloves,Knight,Gloves,Epic,52,0,211,Knight armor affix pool,Armor_Knight_Gloves_4
ITM_0040,Epic Knight Legs,Knight,Legs,Epic,52,0,211,Knight armor affix pool,Armor_Knight_Legs_4
ITM_0041,Epic Knight Boots,Knight,Boots,Epic,52,0,211,Knight armor affix pool,Armor_Knight_Boots_4
ITM_0042,Epic Knight Cape,Knight,Cape,Epic,52,0,211,Knight armor affix pool,Armor_Knight_Cape_4
ITM_0043,Epic Knight Necklace,Knight,Necklace,Epic,52,0,211,Knight armor affix pool,Armor_Knight_Necklace_4
ITM_0044,Epic Knight Ring,Knight,Ring,Epic,52,0,211,Knight armor affix pool,Armor_Knight_Ring_4
ITM_0045,Oathblade Legendary,Knight,MainHand,Legendary,69,465,0,Knight weapon affix pool,WeaponModel_Knight_1
ITM_0046,Lionguard Sword Legendary,Knight,MainHand,Legendary,72,480,0,Knight weapon affix pool,WeaponModel_Knight_2
ITM_0047,Sunward Mace Legendary,Knight,MainHand,Legendary,75,495,0,Knight weapon affix pool,WeaponModel_Knight_3
ITM_0048,Legendary Knight Head,Knight,Head,Legendary,69,0,277,Knight armor affix pool,Armor_Knight_Head_5
ITM_0049,Legendary Knight Chest,Knight,Chest,Legendary,69,0,277,Knight armor affix pool,Armor_Knight_Chest_5
ITM_0050,Legendary Knight Gloves,Knight,Gloves,Legendary,69,0,277,Knight armor affix pool,Armor_Knight_Gloves_5
ITM_0051,Legendary Knight Legs,Knight,Legs,Legendary,69,0,277,Knight armor affix pool,Armor_Knight_Legs_5
ITM_0052,Legendary Knight Boots,Knight,Boots,Legendary,69,0,277,Knight armor affix pool,Armor_Knight_Boots_5
ITM_0053,Legendary Knight Cape,Knight,Cape,Legendary,69,0,277,Knight armor affix pool,Armor_Knight_Cape_5
ITM_0054,Legendary Knight Necklace,Knight,Necklace,Legendary,69,0,277,Knight armor affix pool,Armor_Knight_Necklace_5
ITM_0055,Legendary Knight Ring,Knight,Ring,Legendary,69,0,277,Knight armor affix pool,Armor_Knight_Ring_5
ITM_0056,Oathblade Mythic,Knight,MainHand,Mythic,86,575,0,Knight weapon affix pool,WeaponModel_Knight_1
ITM_0057,Lionguard Sword Mythic,Knight,MainHand,Mythic,89,590,0,Knight weapon affix pool,WeaponModel_Knight_2
ITM_0058,Sunward Mace Mythic,Knight,MainHand,Mythic,92,605,0,Knight weapon affix pool,WeaponModel_Knight_3
ITM_0059,Mythic Knight Head,Knight,Head,Mythic,86,0,343,Knight armor affix pool,Armor_Knight_Head_6
ITM_0060,Mythic Knight Chest,Knight,Chest,Mythic,86,0,343,Knight armor affix pool,Armor_Knight_Chest_6
ITM_0061,Mythic Knight Gloves,Knight,Gloves,Mythic,86,0,343,Knight armor affix pool,Armor_Knight_Gloves_6
ITM_0062,Mythic Knight Legs,Knight,Legs,Mythic,86,0,343,Knight armor affix pool,Armor_Knight_Legs_6
ITM_0063,Mythic Knight Boots,Knight,Boots,Mythic,86,0,343,Knight armor affix pool,Armor_Knight_Boots_6
ITM_0064,Mythic Knight Cape,Knight,Cape,Mythic,86,0,343,Knight armor affix pool,Armor_Knight_Cape_6
ITM_0065,Mythic Knight Necklace,Knight,Necklace,Mythic,86,0,343,Knight armor affix pool,Armor_Knight_Necklace_6
ITM_0066,Mythic Knight Ring,Knight,Ring,Mythic,86,0,343,Knight armor affix pool,Armor_Knight_Ring_6
ITM_0067,Bloodcleaver Common,Berserker,MainHand,Common,1,25,0,Berserker weapon affix pool,WeaponModel_Berserker_1
ITM_0068,Titan Axe Common,Berserker,MainHand,Common,4,40,0,Berserker weapon affix pool,WeaponModel_Berserker_2
ITM_0069,Ashreaver Greatsword Common,Berserker,MainHand,Common,7,55,0,Berserker weapon affix pool,WeaponModel_Berserker_3
ITM_0070,Common Berserker Head,Berserker,Head,Common,1,0,13,Berserker armor affix pool,Armor_Berserker_Head_1
ITM_0071,Common Berserker Chest,Berserker,Chest,Common,1,0,13,Berserker armor affix pool,Armor_Berserker_Chest_1
ITM_0072,Common Berserker Gloves,Berserker,Gloves,Common,1,0,13,Berserker armor affix pool,Armor_Berserker_Gloves_1
ITM_0073,Common Berserker Legs,Berserker,Legs,Common,1,0,13,Berserker armor affix pool,Armor_Berserker_Legs_1
ITM_0074,Common Berserker Boots,Berserker,Boots,Common,1,0,13,Berserker armor affix pool,Armor_Berserker_Boots_1
ITM_0075,Common Berserker Cape,Berserker,Cape,Common,1,0,13,Berserker armor affix pool,Armor_Berserker_Cape_1
ITM_0076,Common Berserker Necklace,Berserker,Necklace,Common,1,0,13,Berserker armor affix pool,Armor_Berserker_Necklace_1
ITM_0077,Common Berserker Ring,Berserker,Ring,Common,1,0,13,Berserker armor affix pool,Armor_Berserker_Ring_1
ITM_0078,Bloodcleaver Uncommon,Berserker,MainHand,Uncommon,18,135,0,Berserker weapon affix pool,WeaponModel_Berserker_1
ITM_0079,Titan Axe Uncommon,Berserker,MainHand,Uncommon,21,150,0,Berserker weapon affix pool,WeaponModel_Berserker_2
ITM_0080,Ashreaver Greatsword Uncommon,Berserker,MainHand,Uncommon,24,165,0,Berserker weapon affix pool,WeaponModel_Berserker_3
ITM_0081,Uncommon Berserker Head,Berserker,Head,Uncommon,18,0,79,Berserker armor affix pool,Armor_Berserker_Head_2
ITM_0082,Uncommon Berserker Chest,Berserker,Chest,Uncommon,18,0,79,Berserker armor affix pool,Armor_Berserker_Chest_2
ITM_0083,Uncommon Berserker Gloves,Berserker,Gloves,Uncommon,18,0,79,Berserker armor affix pool,Armor_Berserker_Gloves_2
ITM_0084,Uncommon Berserker Legs,Berserker,Legs,Uncommon,18,0,79,Berserker armor affix pool,Armor_Berserker_Legs_2
ITM_0085,Uncommon Berserker Boots,Berserker,Boots,Uncommon,18,0,79,Berserker armor affix pool,Armor_Berserker_Boots_2
ITM_0086,Uncommon Berserker Cape,Berserker,Cape,Uncommon,18,0,79,Berserker armor affix pool,Armor_Berserker_Cape_2
ITM_0087,Uncommon Berserker Necklace,Berserker,Necklace,Uncommon,18,0,79,Berserker armor affix pool,Armor_Berserker_Necklace_2
ITM_0088,Uncommon Berserker Ring,Berserker,Ring,Uncommon,18,0,79,Berserker armor affix pool,Armor_Berserker_Ring_2
ITM_0089,Bloodcleaver Rare,Berserker,MainHand,Rare,35,245,0,Berserker weapon affix pool,WeaponModel_Berserker_1
ITM_0090,Titan Axe Rare,Berserker,MainHand,Rare,38,260,0,Berserker weapon affix pool,WeaponModel_Berserker_2
ITM_0091,Ashreaver Greatsword Rare,Berserker,MainHand,Rare,41,275,0,Berserker weapon affix pool,WeaponModel_Berserker_3
ITM_0092,Rare Berserker Head,Berserker,Head,Rare,35,0,145,Berserker armor affix pool,Armor_Berserker_Head_3
ITM_0093,Rare Berserker Chest,Berserker,Chest,Rare,35,0,145,Berserker armor affix pool,Armor_Berserker_Chest_3
ITM_0094,Rare Berserker Gloves,Berserker,Gloves,Rare,35,0,145,Berserker armor affix pool,Armor_Berserker_Gloves_3
ITM_0095,Rare Berserker Legs,Berserker,Legs,Rare,35,0,145,Berserker armor affix pool,Armor_Berserker_Legs_3
ITM_0096,Rare Berserker Boots,Berserker,Boots,Rare,35,0,145,Berserker armor affix pool,Armor_Berserker_Boots_3
ITM_0097,Rare Berserker Cape,Berserker,Cape,Rare,35,0,145,Berserker armor affix pool,Armor_Berserker_Cape_3
ITM_0098,Rare Berserker Necklace,Berserker,Necklace,Rare,35,0,145,Berserker armor affix pool,Armor_Berserker_Necklace_3
ITM_0099,Rare Berserker Ring,Berserker,Ring,Rare,35,0,145,Berserker armor affix pool,Armor_Berserker_Ring_3
ITM_0100,Bloodcleaver Epic,Berserker,MainHand,Epic,52,355,0,Berserker weapon affix pool,WeaponModel_Berserker_1
ITM_0101,Titan Axe Epic,Berserker,MainHand,Epic,55,370,0,Berserker weapon affix pool,WeaponModel_Berserker_2
ITM_0102,Ashreaver Greatsword Epic,Berserker,MainHand,Epic,58,385,0,Berserker weapon affix pool,WeaponModel_Berserker_3
ITM_0103,Epic Berserker Head,Berserker,Head,Epic,52,0,211,Berserker armor affix pool,Armor_Berserker_Head_4
ITM_0104,Epic Berserker Chest,Berserker,Chest,Epic,52,0,211,Berserker armor affix pool,Armor_Berserker_Chest_4
ITM_0105,Epic Berserker Gloves,Berserker,Gloves,Epic,52,0,211,Berserker armor affix pool,Armor_Berserker_Gloves_4
ITM_0106,Epic Berserker Legs,Berserker,Legs,Epic,52,0,211,Berserker armor affix pool,Armor_Berserker_Legs_4
ITM_0107,Epic Berserker Boots,Berserker,Boots,Epic,52,0,211,Berserker armor affix pool,Armor_Berserker_Boots_4
ITM_0108,Epic Berserker Cape,Berserker,Cape,Epic,52,0,211,Berserker armor affix pool,Armor_Berserker_Cape_4
ITM_0109,Epic Berserker Necklace,Berserker,Necklace,Epic,52,0,211,Berserker armor affix pool,Armor_Berserker_Necklace_4
ITM_0110,Epic Berserker Ring,Berserker,Ring,Epic,52,0,211,Berserker armor affix pool,Armor_Berserker_Ring_4
ITM_0111,Bloodcleaver Legendary,Berserker,MainHand,Legendary,69,465,0,Berserker weapon affix pool,WeaponModel_Berserker_1
ITM_0112,Titan Axe Legendary,Berserker,MainHand,Legendary,72,480,0,Berserker weapon affix pool,WeaponModel_Berserker_2
ITM_0113,Ashreaver Greatsword Legendary,Berserker,MainHand,Legendary,75,495,0,Berserker weapon affix pool,WeaponModel_Berserker_3
ITM_0114,Legendary Berserker Head,Berserker,Head,Legendary,69,0,277,Berserker armor affix pool,Armor_Berserker_Head_5
ITM_0115,Legendary Berserker Chest,Berserker,Chest,Legendary,69,0,277,Berserker armor affix pool,Armor_Berserker_Chest_5
ITM_0116,Legendary Berserker Gloves,Berserker,Gloves,Legendary,69,0,277,Berserker armor affix pool,Armor_Berserker_Gloves_5
ITM_0117,Legendary Berserker Legs,Berserker,Legs,Legendary,69,0,277,Berserker armor affix pool,Armor_Berserker_Legs_5
ITM_0118,Legendary Berserker Boots,Berserker,Boots,Legendary,69,0,277,Berserker armor affix pool,Armor_Berserker_Boots_5
ITM_0119,Legendary Berserker Cape,Berserker,Cape,Legendary,69,0,277,Berserker armor affix pool,Armor_Berserker_Cape_5
ITM_0120,Legendary Berserker Necklace,Berserker,Necklace,Legendary,69,0,277,Berserker armor affix pool,Armor_Berserker_Necklace_5
ITM_0121,Legendary Berserker Ring,Berserker,Ring,Legendary,69,0,277,Berserker armor affix pool,Armor_Berserker_Ring_5
ITM_0122,Bloodcleaver Mythic,Berserker,MainHand,Mythic,86,575,0,Berserker weapon affix pool,WeaponModel_Berserker_1
ITM_0123,Titan Axe Mythic,Berserker,MainHand,Mythic,89,590,0,Berserker weapon affix pool,WeaponModel_Berserker_2
ITM_0124,Ashreaver Greatsword Mythic,Berserker,MainHand,Mythic,92,605,0,Berserker weapon affix pool,WeaponModel_Berserker_3
ITM_0125,Mythic Berserker Head,Berserker,Head,Mythic,86,0,343,Berserker armor affix pool,Armor_Berserker_Head_6
ITM_0126,Mythic Berserker Chest,Berserker,Chest,Mythic,86,0,343,Berserker armor affix pool,Armor_Berserker_Chest_6
ITM_0127,Mythic Berserker Gloves,Berserker,Gloves,Mythic,86,0,343,Berserker armor affix pool,Armor_Berserker_Gloves_6
ITM_0128,Mythic Berserker Legs,Berserker,Legs,Mythic,86,0,343,Berserker armor affix pool,Armor_Berserker_Legs_6
ITM_0129,Mythic Berserker Boots,Berserker,Boots,Mythic,86,0,343,Berserker armor affix pool,Armor_Berserker_Boots_6
ITM_0130,Mythic Berserker Cape,Berserker,Cape,Mythic,86,0,343,Berserker armor affix pool,Armor_Berserker_Cape_6
ITM_0131,Mythic Berserker Necklace,Berserker,Necklace,Mythic,86,0,343,Berserker armor affix pool,Armor_Berserker_Necklace_6
ITM_0132,Mythic Berserker Ring,Berserker,Ring,Mythic,86,0,343,Berserker armor affix pool,Armor_Berserker_Ring_6
ITM_0133,Umbral Fang Common,Assassin,MainHand,Common,1,25,0,Assassin weapon affix pool,WeaponModel_Assassin_1
ITM_0134,Nightglass Dagger Common,Assassin,MainHand,Common,4,40,0,Assassin weapon affix pool,WeaponModel_Assassin_2
ITM_0135,Kingslayer Knife Common,Assassin,MainHand,Common,7,55,0,Assassin weapon affix pool,WeaponModel_Assassin_3
ITM_0136,Common Assassin Head,Assassin,Head,Common,1,0,13,Assassin armor affix pool,Armor_Assassin_Head_1
ITM_0137,Common Assassin Chest,Assassin,Chest,Common,1,0,13,Assassin armor affix pool,Armor_Assassin_Chest_1
ITM_0138,Common Assassin Gloves,Assassin,Gloves,Common,1,0,13,Assassin armor affix pool,Armor_Assassin_Gloves_1
ITM_0139,Common Assassin Legs,Assassin,Legs,Common,1,0,13,Assassin armor affix pool,Armor_Assassin_Legs_1
ITM_0140,Common Assassin Boots,Assassin,Boots,Common,1,0,13,Assassin armor affix pool,Armor_Assassin_Boots_1
ITM_0141,Common Assassin Cape,Assassin,Cape,Common,1,0,13,Assassin armor affix pool,Armor_Assassin_Cape_1
ITM_0142,Common Assassin Necklace,Assassin,Necklace,Common,1,0,13,Assassin armor affix pool,Armor_Assassin_Necklace_1
ITM_0143,Common Assassin Ring,Assassin,Ring,Common,1,0,13,Assassin armor affix pool,Armor_Assassin_Ring_1
ITM_0144,Umbral Fang Uncommon,Assassin,MainHand,Uncommon,18,135,0,Assassin weapon affix pool,WeaponModel_Assassin_1
ITM_0145,Nightglass Dagger Uncommon,Assassin,MainHand,Uncommon,21,150,0,Assassin weapon affix pool,WeaponModel_Assassin_2
ITM_0146,Kingslayer Knife Uncommon,Assassin,MainHand,Uncommon,24,165,0,Assassin weapon affix pool,WeaponModel_Assassin_3
ITM_0147,Uncommon Assassin Head,Assassin,Head,Uncommon,18,0,79,Assassin armor affix pool,Armor_Assassin_Head_2
ITM_0148,Uncommon Assassin Chest,Assassin,Chest,Uncommon,18,0,79,Assassin armor affix pool,Armor_Assassin_Chest_2
ITM_0149,Uncommon Assassin Gloves,Assassin,Gloves,Uncommon,18,0,79,Assassin armor affix pool,Armor_Assassin_Gloves_2
ITM_0150,Uncommon Assassin Legs,Assassin,Legs,Uncommon,18,0,79,Assassin armor affix pool,Armor_Assassin_Legs_2
ITM_0151,Uncommon Assassin Boots,Assassin,Boots,Uncommon,18,0,79,Assassin armor affix pool,Armor_Assassin_Boots_2
ITM_0152,Uncommon Assassin Cape,Assassin,Cape,Uncommon,18,0,79,Assassin armor affix pool,Armor_Assassin_Cape_2
ITM_0153,Uncommon Assassin Necklace,Assassin,Necklace,Uncommon,18,0,79,Assassin armor affix pool,Armor_Assassin_Necklace_2
ITM_0154,Uncommon Assassin Ring,Assassin,Ring,Uncommon,18,0,79,Assassin armor affix pool,Armor_Assassin_Ring_2
ITM_0155,Umbral Fang Rare,Assassin,MainHand,Rare,35,245,0,Assassin weapon affix pool,WeaponModel_Assassin_1
ITM_0156,Nightglass Dagger Rare,Assassin,MainHand,Rare,38,260,0,Assassin weapon affix pool,WeaponModel_Assassin_2
ITM_0157,Kingslayer Knife Rare,Assassin,MainHand,Rare,41,275,0,Assassin weapon affix pool,WeaponModel_Assassin_3
ITM_0158,Rare Assassin Head,Assassin,Head,Rare,35,0,145,Assassin armor affix pool,Armor_Assassin_Head_3
ITM_0159,Rare Assassin Chest,Assassin,Chest,Rare,35,0,145,Assassin armor affix pool,Armor_Assassin_Chest_3
ITM_0160,Rare Assassin Gloves,Assassin,Gloves,Rare,35,0,145,Assassin armor affix pool,Armor_Assassin_Gloves_3
ITM_0161,Rare Assassin Legs,Assassin,Legs,Rare,35,0,145,Assassin armor affix pool,Armor_Assassin_Legs_3
ITM_0162,Rare Assassin Boots,Assassin,Boots,Rare,35,0,145,Assassin armor affix pool,Armor_Assassin_Boots_3
