recipe_id,name,profession,required_level,ingredients,output,gold_cost
REC_001,Leatherworking Recipe 1,Leatherworking,1,Material_A x 2; Material_B x 4,CraftedItem_001,13
REC_002,Tailoring Recipe 2,Tailoring,11,Material_A x 3; Material_B x 1,CraftedItem_002,16
REC_003,Alchemy Recipe 3,Alchemy,21,Material_A x 4; Material_B x 2,CraftedItem_003,19
REC_004,Enchanting Recipe 4,Enchanting,31,Material_A x 5; Material_B x 3,CraftedItem_004,22
REC_005,Cooking Recipe 5,Cooking,41,Material_A x 1; Material_B x 4,CraftedItem_005,25
REC_006,Jewelcrafting Recipe 6,Jewelcrafting,51,Material_A x 2; Material_B x 1,CraftedItem_006,28
REC_007,Blacksmithing Recipe 7,Blacksmithing,61,Material_A x 3; Material_B x 2,CraftedItem_007,31
REC_008,Leatherworking Recipe 8,Leatherworking,71,Material_A x 4; Material_B x 3,CraftedItem_008,34
REC_009,Tailoring Recipe 9,Tailoring,81,Material_A x 5; Material_B x 4,CraftedItem_009,37
REC_010,Alchemy Recipe 10,Alchemy,91,Material_A x 1; Material_B x 1,CraftedItem_010,40
REC_011,Enchanting Recipe 11,Enchanting,1,Material_A x 2; Material_B x 2,CraftedItem_011,43
REC_012,Cooking Recipe 12,Cooking,11,Material_A x 3; Material_B x 3,CraftedItem_012,46
REC_013,Jewelcrafting Recipe 13,Jewelcrafting,21,Material_A x 4; Material_B x 4,CraftedItem_013,49
REC_014,Blacksmithing Recipe 14,Blacksmithing,31,Material_A x 5; Material_B x 1,CraftedItem_014,52
REC_015,Leatherworking Recipe 15,Leatherworking,41,Material_A x 1; Material_B x 2,CraftedItem_015,55
REC_016,Tailoring Recipe 16,Tailoring,51,Material_A x 2; Material_B x 3,CraftedItem_016,58
REC_017,Alchemy Recipe 17,Alchemy,61,Material_A x 3; Material_B x 4,CraftedItem_017,61
REC_018,Enchanting Recipe 18,Enchanting,71,Material_A x 4; Material_B x 1,CraftedItem_018,64
REC_019,Cooking Recipe 19,Cooking,81,Material_A x 5; Material_B x 2,CraftedItem_019,67
REC_020,Jewelcrafting Recipe 20,Jewelcrafting,91,Material_A x 1; Material_B x 3,CraftedItem_020,70
REC_021,Blacksmithing Recipe 21,Blacksmithing,1,Material_A x 2; Material_B x 4,CraftedItem_021,73
REC_022,Leatherworking Recipe 22,Leatherworking,11,Material_A x 3; Material_B x 1,CraftedItem_022,76
REC_023,Tailoring Recipe 23,Tailoring,21,Material_A x 4; Material_B x 2,CraftedItem_023,79
